5	S	#	#	#	G	4	0	8	3	5
2	2	#	#	#	6	0	8	7	9	1
#	#	#	#	#	3	9	7	2	7	9
0	3	#	#	#	#	6	#	8	3	4
9	#	#	#	#	3	#	#	3	6	4
4	7	#	#	#	#	#	#	3	8	5
1	6	2	#	#	#	#	#	8	2	0
9	1	2	#	#	#	#	#	#	6	1
5	5	9	#	#	#	#	#	1	6	4
8	7	7	#	#	#	#	#	1	8	2
5	8	4	#	#	#	#	#	1	0	9
7	#	4	#	#	#	#	#	#	0	3
6	1	2	7	0	#	#	#	#	4	9
4	3	6	3	2	#	#	#	#	3	3
6	7	7	4	2	#	#	#	#	2	#
6	8	7	1	6	#	#	#	#	8	6
0	0	0	6	#	#	#	#	#	#	7
3	3	5	0	#	#	#	#	#	8	0
#	5	9	4	5	#	#	#	#	6	6
7	7	0	#	3	2	8	5	8	5	4
8	7	2	3	0	#	8	5	6	7	2
6	1	7	9	5	6	4	8	7	8	2
3	8	4	9	5	9	1	0	2	0	#
